Brand: 10000004   Goods: 3735
Brand: 10000006   Goods: 993
Brand: 10000007   Goods: 318
Brand: 10000008   Goods: 677
Brand: 10000009   Goods: 139
Brand: 10000012   Goods: 1984
Brand: 10000015   Goods: 1
Brand: 10000017   Goods: 4
Brand: 10000018   Goods: 469
Brand: 10000022   Goods: 7
Brand: 10000028   Goods: 18
Brand: 10000029   Goods: 19
Brand: 10000030   Goods: 233
Brand: 10000032   Goods: 274
Brand: 10000033   Goods: 4
Brand: 10000035   Goods: 1
Brand: 10000037   Goods: 316
Brand: 10000041   Goods: 480
Brand: 10000043   Goods: 1299
Brand: 10000045   Goods: 1157
Brand: 10000049   Goods: 107
Brand: 10000050   Goods: 1027
Brand: 10000051   Goods: 274
Brand: 10000052   Goods: 50
Brand: 10000056   Goods: 551
Brand: 10000057   Goods: 3113
Brand: 10000058   Goods: 3216
Brand: 10000059   Goods: 6
Brand: 10000062   Goods: 23
Brand: 10000064   Goods: 295
Brand: 10000065   Goods: 1876
Brand: 10000066   Goods: 1
Brand: 10000067   Goods: 1201
Brand: 10000071   Goods: 243
Brand: 10000073   Goods: 24
Brand: 10000075   Goods: 151
Brand: 10000077   Goods: 1
Brand: 10000085   Goods: 748
Brand: 10000088   Goods: 615
Brand: 10000090   Goods: 86
Brand: 10000093   Goods: 72
Brand: 10000094   Goods: 4
Brand: 10000098   Goods: 2
Brand: 10000100   Goods: 3
Brand: 10000101   Goods: 4
Brand: 10000102   Goods: 356
Brand: 10000103   Goods: 1553
Brand: 10000104   Goods: 269
Brand: 10000109   Goods: 420
Brand: 10000110   Goods: 1
Brand: 10000113   Goods: 262
Brand: 10000114   Goods: 1
Brand: 10000116   Goods: 12
Brand: 10000117   Goods: 1
Brand: 10000118   Goods: 113
Brand: 10000121   Goods: 359
Brand: 10000122   Goods: 125
Brand: 10000124   Goods: 213
Brand: 10000125   Goods: 2
Brand: 10000126   Goods: 970
Brand: 10000127   Goods: 891
Brand: 10000133   Goods: 26
Brand: 10000137   Goods: 788
Brand: 10000141   Goods: 518
Brand: 10000144   Goods: 1
Brand: 10000145   Goods: 1404
Brand: 10000147   Goods: 162
Brand: 10000148   Goods: 386
Brand: 10000151   Goods: 127
Brand: 10000152   Goods: 1
Brand: 10000155   Goods: 1
Brand: 10000156   Goods: 1
Brand: 10000157   Goods: 25
Brand: 10000159   Goods: 1
Brand: 10000160   Goods: 36
Brand: 10000161   Goods: 21
Brand: 10000163   Goods: 2
Brand: 10000164   Goods: 2
Brand: 10000166   Goods: 2126
Brand: 10000168   Goods: 5
Brand: 10000169   Goods: 2
Brand: 10000171   Goods: 778
Brand: 10000175   Goods: 1
Brand: 10000176   Goods: 206
Brand: 10000177   Goods: 18
Brand: 10000180   Goods: 229
Brand: 10000181   Goods: 2
Brand: 10000182   Goods: 13
Brand: 10000183   Goods: 148
Brand: 10000193   Goods: 92
Brand: 10000194   Goods: 2
Brand: 10000195   Goods: 3
Brand: 10000197   Goods: 1
Brand: 10000202   Goods: 626
Brand: 10000203   Goods: 8
Brand: 10000204   Goods: 2
Brand: 10000208   Goods: 3
Brand: 10000212   Goods: 150
Brand: 10000215   Goods: 17
Brand: 10000216   Goods: 3
Brand: 10000222   Goods: 982
Brand: 10000223   Goods: 20102
Brand: 10000225   Goods: 4
Brand: 10000226   Goods: 243
Brand: 10000227   Goods: 78
Brand: 10000228   Goods: 388
Brand: 10000229   Goods: 2
Brand: 10000230   Goods: 1
Brand: 10000232   Goods: 17
Brand: 10000233   Goods: 3
Brand: 10000236   Goods: 1022
Brand: 10000237   Goods: 593
Brand: 10000240   Goods: 2
Brand: 10000243   Goods: 980
Brand: 10000245   Goods: 8
Brand: 10000246   Goods: 933
Brand: 10000248   Goods: 362
Brand: 10000249   Goods: 1
Brand: 10000254   Goods: 667
Brand: 10000256   Goods: 1295
Brand: 10000260   Goods: 6
Brand: 10000261   Goods: 92
Brand: 10000264   Goods: 290
Brand: 10000265   Goods: 855
Brand: 10000267   Goods: 123
Brand: 10000268   Goods: 178
Brand: 10000269   Goods: 6126
Brand: 10000271   Goods: 1
Brand: 10000272   Goods: 9
Brand: 10000276   Goods: 2228
Brand: 10000277   Goods: 27
Brand: 10000279   Goods: 24
Brand: 10000280   Goods: 3146
Brand: 10000281   Goods: 942
Brand: 10000284   Goods: 297
Brand: 10000285   Goods: 317
Brand: 10000286   Goods: 987
Brand: 10000287   Goods: 533
Brand: 10000288   Goods: 479
Brand: 10000290   Goods: 4
Brand: 10000291   Goods: 1419
Brand: 10000292   Goods: 1664
Brand: 10000294   Goods: 341
Brand: 10000299   Goods: 60
Brand: 10000304   Goods: 43
Brand: 10000306   Goods: 389
Brand: 10000307   Goods: 267
Brand: 10000309   Goods: 995
Brand: 10000312   Goods: 382
Brand: 10000313   Goods: 3687
Brand: 10000314   Goods: 145
Brand: 10000316   Goods: 266
Brand: 10000317   Goods: 467
Brand: 10000318   Goods: 61
Brand: 10000319   Goods: 131
Brand: 10000322   Goods: 7
Brand: 10000323   Goods: 1
Brand: 10000324   Goods: 183
Brand: 10000326   Goods: 9
Brand: 10000327   Goods: 126
Brand: 10000328   Goods: 2
Brand: 10000329   Goods: 4027
Brand: 10000331   Goods: 1
Brand: 10000332   Goods: 131
Brand: 10000333   Goods: 372
Brand: 10000334   Goods: 109
Brand: 10000335   Goods: 1811
Brand: 10000336   Goods: 6
Brand: 10000338   Goods: 317
Brand: 10000339   Goods: 15
Brand: 10000340   Goods: 1913
Brand: 10000341   Goods: 354
Brand: 10000343   Goods: 1
Brand: 10000345   Goods: 17
Brand: 10000346   Goods: 646
Brand: 10000347   Goods: 290
Brand: 10000349   Goods: 1435
Brand: 10000350   Goods: 131
Brand: 10000351   Goods: 2907
Brand: 10000353   Goods: 231
Brand: 10000355   Goods: 1
Brand: 10000357   Goods: 18
Brand: 10000358   Goods: 1
Brand: 10000359   Goods: 234
Brand: 10000361   Goods: 2
Brand: 10000362   Goods: 1052
Brand: 10000363   Goods: 10175
Brand: 10000364   Goods: 37
Brand: 10000365   Goods: 459
Brand: 10000369   Goods: 405
Brand: 10000371   Goods: 248
Brand: 10000372   Goods: 314
Brand: 10000373   Goods: 15
Brand: 10000374   Goods: 4
Brand: 10000375   Goods: 573
Brand: 10000376   Goods: 4005
Brand: 10000377   Goods: 8
Brand: 10000379   Goods: 217
Brand: 10000380   Goods: 1101
Brand: 10000381   Goods: 1276
Brand: 10000382   Goods: 1
Brand: 10000384   Goods: 171
Brand: 10000386   Goods: 825
Brand: 10000387   Goods: 831
Brand: 10000388   Goods: 218
Brand: 10000389   Goods: 390
Brand: 10000390   Goods: 2
Brand: 10000391   Goods: 229
Brand: 10000393   Goods: 3
Brand: 10000394   Goods: 316
Brand: 10000395   Goods: 15
Brand: 10000398   Goods: 717
Brand: 10000400   Goods: 145
Brand: 10000401   Goods: 1014
Brand: 10000405   Goods: 72
Brand: 10000406   Goods: 2233
Brand: 10000408   Goods: 2250
Brand: 10000409   Goods: 165
Brand: 10000410   Goods: 169
Brand: 10000411   Goods: 1
Brand: 10000418   Goods: 35
Brand: 10000419   Goods: 23
Brand: 10000420   Goods: 28
Brand: 10000425   Goods: 123
Brand: 10000428   Goods: 137
Brand: 10000430   Goods: 2
Brand: 10000434   Goods: 2216
Brand: 10000437   Goods: 2
Brand: 10000438   Goods: 1989
Brand: 10000439   Goods: 1
Brand: 10000440   Goods: 2
Brand: 10000442   Goods: 1051
Brand: 10000443   Goods: 194
Brand: 10000444   Goods: 103
Brand: 10000445   Goods: 662
Brand: 10000446   Goods: 18
Brand: 10000447   Goods: 162
Brand: 10000450   Goods: 11
Brand: 10000451   Goods: 13
Brand: 10000452   Goods: 611
Brand: 10000454   Goods: 201
Brand: 10000455   Goods: 94
Brand: 10000456   Goods: 2676
Brand: 10000457   Goods: 1
Brand: 10000459   Goods: 1030
Brand: 10000460   Goods: 680
Brand: 10000462   Goods: 4
Brand: 10000465   Goods: 1037
Brand: 10000466   Goods: 7050
Brand: 10000469   Goods: 138
Brand: 10000472   Goods: 458
Brand: 10000473   Goods: 719
Brand: 10000474   Goods: 3794
Brand: 10000477   Goods: 1948
Brand: 10000478   Goods: 3142
Brand: 10000479   Goods: 231
Brand: 10000481   Goods: 4167
Brand: 10000482   Goods: 1
Brand: 10000484   Goods: 791
Brand: 10000485   Goods: 1
Brand: 10000488   Goods: 398
Brand: 10000490   Goods: 1868
Brand: 10000491   Goods: 1
Brand: 10000492   Goods: 18
Brand: 10000494   Goods: 698
Brand: 10000495   Goods: 1193
Brand: 10000498   Goods: 2396
Brand: 10000499   Goods: 327
Brand: 10000500   Goods: 1347
Brand: 10000501   Goods: 934
