Category: 1012   Goods: 17182
Category: 1056   Goods: 144027
Category: 26965   Goods: 848
Category: 26968   Goods: 2940
Category: 26971   Goods: 1415
Category: 26974   Goods: 648
Category: 26977   Goods: 561
Category: 26980   Goods: 1940
Category: 26983   Goods: 1373
Category: 271   Goods: 230375
Category: 27449   Goods: 264
Category: 27898   Goods: 112
Category: 27971   Goods: 25
Category: 28004   Goods: 10490
Category: 28005   Goods: 8290
Category: 28006   Goods: 135949
Category: 28007   Goods: 36827
Category: 28008   Goods: 22115
Category: 28009   Goods: 1364
Category: 297   Goods: 122938
Category: 311   Goods: 707273
Category: 32532   Goods: 51210
Category: 337   Goods: 222844
Category: 356   Goods: 7849
Category: 368   Goods: 7647
Category: 3755   Goods: 868
Category: 403   Goods: 11409
Category: 42067   Goods: 33298
Category: 44997   Goods: 80
Category: 48333   Goods: 34
Category: 48334   Goods: 1
Category: 48336   Goods: 14
Category: 48337   Goods: 206
Category: 50513   Goods: 15
Category: 50514   Goods: 52
Category: 50515   Goods: 22
Category: 50516   Goods: 16
Category: 517   Goods: 29514
Category: 609   Goods: 8741
Category: 6507   Goods: 20
Category: 680   Goods: 138583
Category: 688   Goods: 4184
Category: 72269   Goods: 55
Category: 73741   Goods: 21084
Category: 7469   Goods: 11294
Category: 7470   Goods: 6957
Category: 75798   Goods: 121
Category: 75799   Goods: 96
Category: 945   Goods: 1411
